Stimulus;SUPPORT;PRESSURE;CONSTRAINT;COVERING;VISIBILITY
The family depends on the father;4.00;1.67;4.04;6.17;2.33
There is a physician on call;3.29;3.08;2.83;3.21;3.00
All books are on sale;2.63;2.25;2.17;2.58;4.83
The band is on tour;3.46;2.96;2.63;3.00;5.00
The boat is on course;4.17;2.79;2.17;2.42;5.00
The bus is on schedule;4.25;2.13;3.08;2.83;3.79
Jeff is on time;3.46;1.83;2.92;2.46;3.75
Sam is on his way home;3.08;2.00;2.17;1.71;4.29
She puts the blame on my actions;4.00;2.58;4.58;3.08;2.08
He pulled a gun on me;4.33;2.04;4.25;1.38;4.42
Pat has been on sick leave;3.54;2.00;2.46;2.25;2.67
There is a parade on Sunday;2.79;2.42;1.75;1.75;5.17
The program will be broadcast on CBS;2.67;3.46;1.54;2.79;6.33
Joan works on the committee;3.04;1.83;3.25;4.25;4.04
Linda is very knowledgeable on this subject;2.13;2.75;2.29;3.67;2.79
The factory workers are on strike for a second day;4.17;2.25;4.00;3.21;5.29
These cold nights are very hard on the homeless;3.71;2.67;4.58;2.17;3.83
They ordered a court martial to be held on him;4.75;2.21;4.92;2.42;3.08
Pam is on a diet;4.89;1.79;4.33;2.75;3.38
The dog is on the leash;6.71;2.29;5.75;2.83;5.58
She is on the pill;3.96;2.21;3.33;3.92;2.38
The ship is on the anchor;6.46;2.50;4.58;4.58;4.25
The lunch is on George;2.25;3.42;2.67;3.63;2.58
He lives on a pension;4.88;1.92;3.17;5.79;1.83
The boss is on my neck;4.92;3.04;6.33;2.25;2.42
There are fifty nurses on the hospital staff;2.42;3.08;2.75;4.58;4.63
There is ten cent interest on the dollar;3.25;2.63;3.00;3.04;2.46
The vase is on the table;4.29;4.75;4.58;6.46;6.54
The fish is on the surface;3.00;4.75;3.33;3.96;6.54
The fly is on the ceiling;2.58;4.04;2.13;3.08;6.17
She has a beautiful ring on her finger;3.33;4.92;3.08;3.88;6.63
The house rests on the foundation;4.29;4.83;5.25;6.71;5.08
They hung a picture on the wall;4.25;5.67;4.00;5.38;6.79
I have a cut on my finger;3.08;3.96;3.63;2.08;5.79
I have a rash on my back;2.46;6.17;2.54;2.21;6.21
The actor is on stage;3.38;3.17;3.42;4.67;6.71
He resides on the continent;3.38;3.63;2.50;4.58;4.38
