Stimulus;RESISTANCE;VERTICALITY;BALANCE;CENTER-PERIPHERY;LINKAGE
stand at attention;4.00;6.08;5.00;3.08;2.08
stand out in several sports;2;3.54;2.83;5.04;3.42
to stand firm;6.21;4.13;5.04;3.75;2.83
don't stand for such treatment;5.54;2.21;3.04;3.13;3.08
to stand the test of time;4.88;2.38;3.92;3.00;4.08
united we stand;4.79;4.21;4.25;4.78;6.33
we stand on 30 years of experience;2.46;2.63;2.92;3.43;4.58
let the issue stand;2.83;1.92;2.08;3.04;2.96
let the mixture stand;1.54;2.08;3.17;1.88;2.00
get stood up for a date;1.83;3.17;3.04;2.29;2.17
he stands six-foot nine;2.29;6.50;3.54;1.96;2.00
the clock stands on the mantle;2.00;4.38;4.46;2.13;2.42
one-night stand;1.63;1.46;1.29;2.17;3.04
to stand to profit;2.04;1.75;1.79;1.74;3.54
to stand in someone else's shoes;2.25;3.58;2.96;4.13;4.70
on the witness stand;1.83;2.08;1.50;3.63;2.96
stand in awe;2.33;3.75;3.29;3.65;3.50
the police told them to stand back;3.63;3.42;2.17;3.46;2.74
stand by your man;3.00;3.79;2.79;3.46;4.74
the engine can't stand the constant wear;4.88;1.33;1.83;1.58;3.50
stand on shaky ground;4.63;3.92;6.04;2.71;3.29
to stand accused;3.50;2.29;2.00;3.63;3.54
the house stands in the clearing;1.83;4.63;3.50;4.08;3.17
the barometer stands at 30 inches;1.83;4.71;3.38;1.46;3.13
as the matter now stands;2.42;1.88;2.96;2.63;3.25
the part stands for the whole;2.29;1.83;1.96;3.87;2.42
it stands to reason;2.25;1.96;2.63;2.42;3.63
they did nothing but stand around;1.92;4.71;3.54;2.13;2.21
to stand against great odds;6.46;3.08;4.13;5.13;4.25
a standing ovation;1.96;5.00;3.17;3.50;3.50
the boss always stands over me;3.58;4.71;2.75;4.04;3.75
he stands committed;4.12;3.66;3.55;3.12;3.29
