Action	UP	DOWN	LEFT	RIGHT
fled	12	12	0	0
pointed at	12	12	0	0
pulled	12	12	0	0
pushed	12	12	0	0
walked	15	9	0	0
hunted	11	13	0	0
impacted	11	13	0	0
perched	12	12	0	0
showed	12	12	0	0
smashed	11	13	0	0
bombed	11	13	0	0
flew	14	10	0	0
floated	11	13	0	0
lifted	14	10	0	0
sank	11	13	0	0
argued with	13	11	0	0
gave to	12	12	0	0
offended	11	13	0	0
rushed	13	11	0	0
warned	12	12	0	0
owned	11	13	0	0
regretted	12	12	0	0
rested	12	12	0	0
tempted	12	12	0	0
wanted	12	12	0	0
hoped	11	13	0	0
increased	18	6	0	0
obeyed	12	12	0	0
respected	11	13	0	0
succeeded	12	12	0	0
