Action	UP	DOWN	LEFT	RIGHT
fled	1	17	6	0
pointed at	6	9	9	0
pulled	6	12	6	0
pushed	6	13	5	0
walked	6	14	4	0
hunted	6	13	2	0
impacted	6	10	8	0
perched	6	13	5	0
showed	7	12	5	0
smashed	1	19	4	0
bombed	3	16	5	0
flew	6	14	4	0
floated	5	14	5	0
lifted	8	14	2	0
sank	2	16	6	0
argued with	4	12	8	0
gave to	7	11	6	0
offended	2	10	12	0
rushed	6	13	5	0
warned	5	14	5	0
owned	6	11	6	0
regretted	0	18	6	0
rested	6	14	4	0
tempted	5	12	7	0
wanted	6	10	6	0
hoped	7	13	4	0
increased	10	11	3	0
obeyed	6	14	4	0
respected	6	10	7	0
succeeded	7	14	3	0
