Action	UP	DOWN	LEFT	RIGHT
fled	0	3	15	6
pointed at	3	6	6	9
pulled	2	7	9	6
pushed	2	9	9	4
walked	2	5	8	9
hunted	0	3	15	6
impacted	0	4	14	6
perched	1	8	8	7
showed	2	5	10	7
smashed	0	2	16	6
bombed	0	3	16	5
flew	2	6	10	6
floated	2	7	9	6
lifted	2	10	9	3
sank	0	4	15	5
argued with	2	2	12	8
gave to	2	4	12	6
offended	1	3	11	9
rushed	0	3	16	5
warned	2	2	13	7
owned	2	3	13	6
regretted	1	1	13	9
rested	1	4	9	10
tempted	0	2	15	7
wanted	2	1	11	10
hoped	2	3	9	10
increased	0	3	16	5
obeyed	1	2	13	8
respected	2	2	12	8
succeeded	1	3	14	6
