Action	UP	DOWN	LEFT	RIGHT
fled	2	7	10	5
pointed at	5	6	7	6
pulled	5	6	7	6
pushed	3	7	8	6
walked	6	6	7	5
hunted	3	8	8	5
impacted	5	6	7	6
perched	5	6	7	6
showed	2	8	8	6
smashed	5	6	7	6
bombed	2	8	8	6
flew	1	5	15	3
floated	2	6	12	4
lifted	5	6	7	6
sank	2	8	8	6
argued with	5	6	7	6
gave to	0	8	9	7
offended	2	8	8	6
rushed	5	6	7	6
warned	5	6	7	6
owned	2	8	8	6
regretted	2	8	9	5
rested	4	7	7	6
tempted	3	8	7	6
wanted	7	6	6	5
hoped	1	8	9	6
increased	3	7	8	6
obeyed	3	8	7	6
respected	3	8	7	6
succeeded	2	8	8	6
