Action	C:◯↑▢	D:◯↓▢	B:◯←▢	A:◯→▢
walked	0	0	0	1
perched	0	1	0	0
respected	0	1	0	0
fled	0	0	1	0
pulled	0	0	1	0
wanted	0	0	0	1
pushed	0	0	1	0
argued with	0	0	1	0
obeyed	0	0	1	0
showed	0	0	1	0
sank	0	1	0	0
lifted	0	0	1	0
regretted	0	0	1	0
gave to	0	0	1	0
pointed at	0	0	1	0
impacted	0	0	1	0
owned	0	0	1	0
smashed	0	0	0	1
increased	0	0	1	0
floated	0	0	0	1
bombed	0	0	0	1
hunted	0	0	0	1
tempted	0	0	0	1
hoped	0	1	0	0
rushed	0	0	0	1
flew	0	0	0	1
rested	0	0	1	0
offended	0	0	1	0
succeeded	0	0	0	1
warned	0	0	1	0
