Action	UP	DOWN	LEFT	RIGHT
fled	12	0	8	4
pointed at	6	3	2	6
pulled	5	7	6	6
pushed	6	6	6	6
walked	5	7	6	6
hunted	6	6	6	6
impacted	4	8	6	6
perched	8	4	6	6
showed	6	2	6	6
smashed	6	6	6	6
bombed	9	3	6	5
flew	8	1	6	6
floated	6	5	6	6
lifted	20	0	1	3
sank	6	6	6	6
argued with	3	9	6	0
gave to	3	0	1	2
offended	5	7	6	0
rushed	4	8	6	5
warned	6	4	6	1
owned	6	6	6	5
regretted	6	6	6	0
rested	5	7	6	6
tempted	8	4	6	6
wanted	7	3	6	6
hoped	9	0	6	1
increased	12	0	6	6
obeyed	5	7	6	4
respected	9	3	6	4
succeeded	14	0	4	6
