Action	UP	DOWN	LEFT	RIGHT
fled	0	24	0	0
pointed at	2	0	22	0
pulled	0	24	0	0
pushed	0	24	0	0
walked	0	24	0	0
hunted	0	24	0	0
impacted	0	24	0	0
perched	6	18	0	0
showed	7	17	0	0
smashed	0	24	0	0
bombed	0	24	0	0
flew	0	24	0	0
floated	0	24	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	9	15	0
gave to	0	18	6	0
offended	0	24	0	0
rushed	0	23	0	1
warned	0	7	17	0
owned	0	20	4	0
regretted	0	21	3	0
rested	0	24	0	0
tempted	0	21	3	0
wanted	7	13	4	0
hoped	14	6	4	0
increased	24	0	0	0
obeyed	0	24	0	0
respected	24	0	0	0
succeeded	18	0	6	0
