Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE
stand at attention,6.999994865378257,6.93317985403346,6.994132763731661,4.460044576016753,6.94406434193456
stand out in several sports,1.2590053028976163,1.9316606066122086,6.580723834795869,4.553731181046305,2.6947358503231724
to stand firm,6.999926607609634,6.999974914402509,5.919140301724499,3.4298053310490126,6.999992342913741
don't stand for such treatment,1.603768409972387,1.640157051135114,4.133793473532433,3.4392957142311995,6.9999379200201
to stand the test of time,2.315037610215524,3.4946164551702017,4.6285671442433305,6.977737785470879,6.320185418433251
united we stand,2.9832394293663262,6.995682301659878,6.999994880470001,6.999998416842914,6.999379462672501
we stand on 30 years of experience,2.8635395958269005,2.969300409929775,6.112773224868552,6.998919784784276,1.6250270793659614
let the issue stand,1.0008654645401809,1.4049406194172733,1.0128429470686813,1.1509677473012605,1.6934268813698126
let the mixture stand,3.655283583198956,3.4701640180931,1.0192170144923085,2.2390059166188045,2.208017964241579
get stood up for a date,1.0006787830339254,1.0000352906876955,2.2762271481863454,6.970390142709943,1.0051332718605868
he stands six-foot nine,6.999968119417462,1.0609319525480538,1.0000294268064358,1.0001784810227137,1.0000809694346264
the clock stands on the mantle,4.975111717053289,1.0011323670012653,1.2385699673869226,4.604965672434901,1.000000993247085
one-night stand,1.0000289712066954,1.0000179818641477,1.3030103913151325,2.181133086272519,1.009839535944976
to stand to profit,2.050662891104906,1.361487984607919,2.330790959200356,6.96760590142419,1.0246191181346571
to stand in someone else's shoes,5.375504303917594,6.966262207155904,6.996900988396691,6.999714378416639,6.971673020582283
on the witness stand,6.99677441181654,1.6071118143245797,6.999467864251012,6.9970739882587685,3.157858615553146
stand in awe,6.994848831758711,2.908251860530773,6.733328576637256,2.5651878397055388,2.331948772704759
the police told them to stand back,1.1314044517588095,1.020600586125348,6.828371276711163,6.992563278518028,6.987548973140121
stand by your man,2.693441329283493,3.1594288040159464,4.805594468412288,6.892384461529921,2.9982651899982784
the engine can't stand the constant wear,1.0001961369882348,1.2918106912791234,1.1077090433676726,2.145736782123009,5.920178150835091
stand on shaky ground,6.5079019876340025,1.9243443844654726,2.4608829191934816,5.8938042250674405,4.180880856085728
to stand accused,2.356996896364973,1.1932078657292988,4.231786004991299,6.98205288111184,3.4895770801369395
the house stands in the clearing,1.0228106591104886,1.7654224011854442,3.9861066092348167,2.6953445973414945,1.0000995767042868
the barometer stands at 30 inches,6.999747707095076,1.0000928230139694,1.0001977540735854,1.0274765423796914,1.0000115646185952
as the matter now stands,1.0000132281056326,1.4194852785214553,1.1674697149619038,1.0314476087015427,1.0064745953763286
the part stands for the whole,4.331744882207013,3.609231324999031,6.9996842458961845,6.999954668521786,3.15018929355231
it stands to reason,1.2855982629247802,2.511138618309673,1.2058676165828863,6.994163388037378,1.1967927229169248
they did nothing but stand around,1.000108303946125,1.0006100834671994,3.1926041739726303,1.0078433376771705,1.0008219681061488
to stand against great odds,6.944756044495937,6.984125188203088,6.999897387688717,6.9893783998100885,6.999998234204646
a standing ovation,6.995378696213335,2.007066078222355,6.99999032895059,6.994127232574486,4.290040050482745
the boss always stands over me,6.999964137240883,1.0035525913165442,6.999828639228241,6.998077494587262,3.2849105119540125
he stands committed,1.038049934345674,1.8287395851390078,1.0335063589319677,3.558017042466109,2.271125889737338
