Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE,VERTICALITY_Completion_Text,BALANCE_Completion_Text,CENTER-PERIPHERY_Completion_Text,LINKAGE_Completion_Text,RESISTANCE_Completion_Text
stand at attention,5,5,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""stand at attention"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
stand out in several sports,5,7,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""stand out in several sports"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
to stand firm,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to stand firm"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
don't stand for such treatment,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""don't stand for such treatment"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
to stand the test of time,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""to stand the test of time"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
united we stand,5,7,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""united we stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
we stand on 30 years of experience,5,5,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""we stand on 30 years of experience"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
let the issue stand,5,5,5,5,7,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""let the issue stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 7.
How strongly"
let the mixture stand,5,5,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""let the mixture stand"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
get stood up for a date,4,5,5,5,5,"Consider the notion of VERTICALITY. Verticality refers to the sense of an extension along an up—down orientation.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 4.
How strongly","Consider the notion of BALANCE. Balance refers to your sense of symmetry or stability relative to some point within your body.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of CENTER-PERIPHERY. Center-periphery refers to the experience of some objects or events as central while surrounding objects and events are peripheral or to the outside.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of LINKAGE. Linkage refers to the perception of a connection between objects or events.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly","Consider the notion of RESISTANCE. Resistance refers to the experience of your body opposing some external force.
How strongly is the phrase ""get stood up for a date"" related to this notion on a scale from 1 (not at all related) to 7 (very strongly related)? I choose the number 5.
How strongly"
