Stimulus,VERTICALITY,BALANCE,CENTER-PERIPHERY,LINKAGE,RESISTANCE
stand at attention,4.076249708984157,4.09648356862431,4.091376215894508,4.018447177116171,3.9693669504679345
stand out in several sports,3.9178350832144706,4.060697937041978,4.103153832307726,4.009806374290823,3.9879792057938914
to stand firm,4.043068493107414,4.047292071061581,4.113387167411341,3.9986139331601724,3.930531744925085
don't stand for such treatment,3.9709041500711644,4.1859612160360635,4.107253638553218,3.96873062254361,3.8993275776575786
to stand the test of time,4.0962996486478405,4.103313219417983,4.1309325286513205,4.08651885206199,3.969893580827689
united we stand,4.0099669530925555,4.0411394329699935,4.060814287477752,4.029195576732063,4.0189652036541705
we stand on 30 years of experience,3.99949394266652,4.130247004441645,4.240291902894569,4.089485933872023,4.009091733751631
let the issue stand,3.954281198930174,4.045273819361276,4.046039358509288,4.001378194904607,3.9267956313726424
let the mixture stand,4.010798707401072,4.058759681173026,4.060106534479564,3.9242088084966245,3.9422440395678895
get stood up for a date,4.0101728424785925,3.9854762136618636,4.088865398518295,4.0314866257390864,3.9515419276581807
he stands six-foot nine,4.037820149204648,4.109280721859228,4.135409654740943,4.060378328707,4.030598268528722
the clock stands on the mantle,3.99942288585591,4.195584115426762,4.069519915931632,3.9706798778236805,3.9720373164675764
one-night stand,3.9598148984054418,4.00084867820997,3.992630758475701,3.984173142066947,3.9815346065492263
to stand to profit,4.062391434902696,4.071884381866532,4.037637975633066,3.9835795962963005,3.988073116031158
to stand in someone else's shoes,4.013254040023699,4.068587681543223,4.197965979813565,4.008596262052996,3.9996424902798235
on the witness stand,4.038668614298021,4.110260181635324,4.070072503742593,4.013949476101296,4.0443065022642966
stand in awe,4.041645643778305,4.111364607338031,4.147143457126256,3.978851096932447,3.9693853591619463
the police told them to stand back,3.984566007694917,4.000500648241002,4.050084117914765,4.011139836006301,3.9830174444200592
stand by your man,4.039361218043252,4.056276174253179,4.076707496979899,4.0760189588012885,4.0571439720690945
the engine can't stand the constant wear,3.8729449062645167,4.0680745690694256,3.9979805585423906,3.944965337018151,4.003420032433612
stand on shaky ground,3.9719746296263834,4.1166194605576525,4.078364828234778,3.9489088668321375,3.893420060091325
to stand accused,3.999233215167544,4.005404691568439,4.042169863009689,4.000296252221474,3.9572762056965236
the house stands in the clearing,3.956738847667788,4.0908214534002925,4.036818935918919,3.950933748293038,3.9484194370212284
the barometer stands at 30 inches,3.9900334836879257,4.004094118323909,4.068050441785378,3.9372320430187435,3.9539163835555686
as the matter now stands,4.060130141783496,4.000272885488519,4.070511644420156,3.9663958566120985,3.9885041874213187
the part stands for the whole,3.997385957615367,4.134678577288677,4.13709510257744,4.065584504247678,3.9237599021898637
it stands to reason,3.9770087209344585,4.070429112052318,4.0830366775777325,4.056528859389615,3.928272695276073
they did nothing but stand around,3.90659705954866,3.923858176068828,3.9983921290361826,3.963520268002019,3.9026358509078323
to stand against great odds,4.106549409356371,4.113800385189665,4.164851727911475,4.073680397018603,3.97978579882448
a standing ovation,4.160622182159886,4.168321719818234,4.1883752508998695,4.0870093865474,4.0761638393878865
the boss always stands over me,3.9143773301355815,3.9325332817718817,4.003264706629193,4.016370497282859,3.878034235320208
he stands committed,3.981336164683714,4.027942503331795,4.088481279181833,4.020448095769094,3.970545482578051
