Stimulus;VERTICALITY;BALANCE;CENTER-PERIPHERY;LINKAGE;RESISTANCE;VERTICALITY_Completion_Text;BALANCE_Completion_Text;CENTER-PERIPHERY_Completion_Text;LINKAGE_Completion_Text;RESISTANCE_Completion_Text
be at attention;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
How strongly is the phrase ""be at";"4.
How strongly is the phrase ""be at";"4.
Now consider the phrase ""be at ease";"4.
How strongly is the phrase ""be at"
be distinguished in several sports;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
How strongly is the phrase ""be distinguished";"4.
Now, consider the notion of ""be";"4.
Now, consider the phrase ""be distinguished";"4.
Now, consider the notion of EXCEL"
to hold firm;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
How strongly is the phrase ""to hold";"4.
Now consider the notion of CENTER-PER";"4.
Now consider the phrase ""to hold firm";"4.
Now consider the notion of RESISTANCE"
don't allow such treatment;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
How strongly is the phrase ""don't";"4.
How strongly is the phrase ""don't";"4.
Now, consider the phrase ""don't";"4.
How strongly is the phrase ""don't"
to pass the test of time;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
How strongly is the phrase ""to pass";"4.
Now consider the notion of CENTER-PER";"4.
Now, consider the phrase ""to pass";"4.
Now, consider the notion of TIME."
united we are strong;4;5;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"5.
How strongly is the phrase ""united";"4.
Now consider the phrase ""divided we";"4.
Now, consider the phrase ""united";"4.
Now, consider the notion of RESIL"
we are backed up by 30 years experience;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
Now consider the phrase ""we are backed";"4.
How strongly is the phrase ""we are";"4.
Now, consider the notion of RELEV";"4.
How strongly is the phrase ""we are"
let the issue remain as is;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
How strongly is the phrase ""let the";"4.
Now consider the notion of CENTER-PER";"4.
Now, consider the phrase ""let the";"4.
How strongly is the phrase ""let the"
leave the mixture undisturbed;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
How strongly is the phrase ""leave the";"4.
Now consider the notion of CENTER-PER";"4.
Now, consider the phrase ""leave the";"4.
How strongly is the phrase ""leave the"
have a dale with someone who didn 't show up;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
Now consider the phrase ""have a d";"4.
Now, consider the notion of CENTER-P";"4.
Now, consider the phrase ""have a";"4.
Now, consider the notion of RESIST"
he measures six-foot nine;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
Now consider the phrase ""he measures six";"4.
Now consider the notion of CENTER-PER";"4.
Now consider the phrase ""he measures six";"4.
Now consider the phrase ""he measures six"
the clock is on the mantle;4;4;4;4;4;"4.
Now consider the phrase ""the clock is";"4.
How strongly is the phrase ""the clock";"4.
Now consider the phrase ""the clock is";"4.
Now consider the phrase ""the clock is";"4.
How strongly is the phrase ""the clock"
one-night fling;4;4;4;4;4;"4.
Now consider the notion of HORIZONTALITY";"4.
Now, consider the phrase ""one-night";"4.
How strongly is the phrase ""one-night";"4.
Now, consider the phrase ""one-night";"4.
How strongly is the phrase ""one-night"
