Action	UP	DOWN	LEFT	RIGHT
fled	0	4	17	3
pointed at	3	8	6	7
pulled	2	7	10	5
pushed	2	7	11	4
walked	2	8	8	6
hunted	1	4	14	5
impacted	0	4	16	4
perched	0	7	11	6
showed	1	5	13	5
smashed	0	4	16	4
bombed	0	4	17	3
flew	2	6	10	6
floated	1	9	9	5
lifted	1	11	8	4
sank	0	4	17	3
argued with	2	5	13	4
gave to	2	5	12	5
offended	2	6	14	2
rushed	1	4	15	4
warned	3	5	14	2
owned	1	4	15	4
regretted	2	5	13	4
rested	2	6	11	5
tempted	2	5	14	3
wanted	4	2	15	3
hoped	2	5	13	4
increased	1	4	16	3
obeyed	2	4	12	6
respected	3	5	13	3
succeeded	2	5	14	3
